,label,study_and_condition
5629,__label__0,lymphom diagnos hiv neg lymphoma diagnosis hiv negative
5630,__label__0,sarcom diagnos radiograph nuclear im biopsy confirm diseas within past four week sarcoma diagnosis radiographic nuclear image biopsy confirmation disease within past four weeks
5631,__label__0,child ren wilm tum diagnos paty par leg guard must sign writ inform cons childhood renal wilms tumor diagnosis patients parent legal guardians must sign write inform consent
5632,__label__1,an cant paty diagnos hip prosthes anal cancer patients diagnosis hip prosthesis
5633,__label__1,bon cant diagnos r bone cancer diagnosis r
5634,__label__0,endomet cant diagnos paty charact endometrial cancer diagnosis patient characteristics
5635,__label__1,recur adult diffus mix cel lymphom diagnos pregn breast fee fem lact fem must agr breast fee tak lenalidomid recurrent adult diffuse mix cell lymphoma diagnosis pregnant breast feed females lactate females must agree breast fee take lenalidomide
5636,__label__0,colorect cant diagnos estim lif expect greater_than three month colorectal cancer diagnosis estimate life expectancy greater_than three months
5637,__label__0,hormon resist prost cant diagnos paty enrol calgb nin thousand two hundr two docu diseas progress receiv least four week op label zoledron acid tre elig study hormone resistant prostate cancer diagnosis patients enrol calgb ninety thousand two hundred two document disease progression receive least four weeks open label zoledronic acid treatment eligible study
5638,__label__0,ir melanom diagnos two pri immunotherapy regim eith adjuv metast set iris melanoma diagnosis two prior immunotherapy regimens either adjuvant metastatic set
5639,__label__0,refract hodgkin lymphom diagnos must less_than fiv marrow blast tim transpl refractory hodgkin lymphoma diagnosis must less_than five marrow blast time transplant
5640,__label__0,stag ii adult diffus smal cleav cel lymphom diagnos paty clin sign pulmon insufficy must diffus capac lung carbon monoxid dlco meas greater_than equal_than fifty predict valu stage iii adult diffuse small cleave cell lymphoma diagnosis patients clinical sign pulmonary insufficiency must diffusion capacity lung carbon monoxide dlco measure greater_than equal_than fifty predict value
5641,__label__1,hepatocellul carcinom diagnos bclc stag hepatocellular carcinoma diagnosis bclc stage
5642,__label__0,neuroblastom diagnos ag neuroblastoma diagnosis age
5643,__label__0,adult liposarcom diagnos pregn nurs paty undergo radiotherapy chemotherapy adult liposarcoma diagnosis pregnant nurse patients undergo radiotherapy chemotherapy
5644,__label__0,pancr cant diagnos ser creatinin less_than doc mg dl pancreatic cancer diagnosis serum creatinine less_than doc mg dl
5645,__label__0,stag ii papil thyroid cant diagnos concur or iv bisphosphon bony metastas allow discret investig stage ii papillary thyroid cancer diagnosis concurrent oral iv bisphosphonates bony metastases allow discretion investigator
5646,__label__1,stag iv pancr cant diagnos combin follow posit posit posit c stage iv pancreatic cancer diagnosis combination follow positive positive positive c
5647,__label__1,recur prost cant diagnos in provid inform cons recurrent prostate cancer diagnosis inability provide inform consent
5648,__label__0,stag iv oropharyng squam cel carcinom diagnos calc creatinin clear must greater_than sixty ml min us cockcroft gault formul stage iva oropharyngeal squamous cell carcinoma diagnosis calculate creatinine clearance must greater_than sixty ml min use cockcroft gault formula
5649,__label__0,solid tum diagnos urinalys solid tumors diagnosis urinalysis
5650,__label__0,lymphom diagnos paty lymphoma diagnosis patients
5651,__label__0,lymphom diagnos chemotherapy lymphoma diagnosis chemotherapy
5652,__label__1,solid tum diagnos pregn wom solid tumor diagnosis pregnant women
5653,__label__0,recur child supr embryon tum otherw spec diagnos stem cel transpl sct recurrent childhood supratentorial embryonal tumor otherwise specify diagnosis stem cell transplant sct
5654,__label__0,ren cel cant diagnos rady therapy surgery count tre renal cell cancer diagnosis radiation therapy surgery count treatment
5655,__label__1,smal intestin lymphom diagnos act grad ii iv acut graft vers host diseas gvhd small intestine lymphoma diagnosis active grade iii iv acute graft versus host disease gvhd
5656,__label__1,gast cant diagnos cur particip receiv study therapy particip study investig ag receiv study therapy us investig dev within four week first dos tre gastric cancer diagnosis currently participate receive study therapy participate study investigational agent receive study therapy use investigational device within four weeks first dose treatment
5657,__label__0,stag intraocul melanom diagnos ecog perform statusequal_than less_than two karnofskygreater_than equal_than sixty stage intraocular melanoma diagnosis ecog performance statusequal_than less_than two karnofskygreater_than equal_than sixty
5658,__label__1,recur adenoid cyst carcinom or cav diagnos hist sign periph neuropathy sign cent nerv system diseas recurrent adenoid cystic carcinoma oral cavity diagnosis history significant peripheral neuropathy significant central nervous system disease
5659,__label__1,adv solid tum diagnos maj surgery less_than two week start study drug incomplet recovery pri maj surg proc advance solid tumor diagnosis major surgery less_than two weeks start study drug incomplete recovery prior major surgical procedure
5660,__label__1,lung neoplasm diagnos oxyg tre chang twenty min start lung neoplasms diagnosis oxygen treatment change twenty min start
5661,__label__1,colorect cant diagnos uncontrol art hypertend systol press greater_than on hundr fifty mmhg diastol press greater_than on hundr mmhg without antihypertend med colorectal cancer diagnosis uncontrolled arterial hypertension systolic pressure greater_than one hundred fifty mmhg diastolic pressure greater_than one hundred mmhg without antihypertensive medication
5662,__label__0,stag ii adult burkit lymphom diagnos complet cytogenet remit stage iii adult burkitt lymphoma diagnosis complete cytogenetic remission
5663,__label__1,colorect cant diagnos paty pregn colorectal cancer diagnosis patients pregnant
5664,__label__0,contigu stag ii adult diffus smal cleav cel lymphom diagnos cron unconfirmed_cruone contiguous stage ii adult diffuse small cleave cell lymphoma diagnosis crone unconfirmed_cruone
5665,__label__1,recur mantl cel lymphom diagnos twenty zero circ cdtwenty posit cel ul recurrent mantle cell lymphoma diagnosis twenty zero circulate cdtwenty positive cells ul
5666,__label__0,skin cant diagnos cons research us bcc tissu skin cancer diagnosis consent research use bcc tissue
5667,__label__1,stag iiib breast cant diagnos pregn nurs lact wom stage iiib breast cancer diagnosis pregnant nurse lactate women
5668,__label__0,smold multipl myelom diagnos study particip must reg mand revlimid_rems program wil abl comply requir rem program smolder multiple myeloma diagnosis study participants must register mandatory revlimid_rems program will able comply requirements rems program
5669,__label__1,pri system tre regim breast cant prior systemic treatment regimens breast cancer
5670,__label__1,malign pancr gastrinom diagnos sery non heal wound ulc bon fract malignant pancreatic gastrinoma diagnosis serious non heal wind ulcer bone fracture
5671,__label__1,stag iv thyroid gland papil carcinom diagnos hist allerg react attribut compound simil chem biolog composit sunitinib stage iva thyroid gland papillary carcinoma diagnosis history allergic reactions attribute compound similar chemical biologic composition sunitinib
5672,__label__0,lymphom diagnos pulmon lymphoma diagnosis pulmonary
5673,__label__1,stag iib hodgkin lymphom diagnos sex act paty reproduc pot agree us effect contraceiv method dur study particip thirty day last dos chemotherapy stage iib hodgkin lymphoma diagnosis sexually active patients reproductive potential agree use effective contraceptive method duration study participation thirty days last dose chemotherapy
5674,__label__0,stag ii ren cel cant diagnos colon stage iii renal cell cancer diagnosis colon
5675,__label__0,pri tre less_than four day tot four00 mg prednison equ pot anoth steroid myelom consid regim prior treatment less_than four days total four00 mg prednisone equivalent potency another steroid myeloma consider regimen
5676,__label__1,child pleomorph rhabdomyosarcom diagnos gre ninetyfiveth_percentile systol diastol blood press bas ag height control on antihypertend med childhood pleomorphic rhabdomyosarcoma diagnosis greater ninetyfiveth_percentile systolic diastolic blood pressure base age height control one antihypertensive medication
5677,__label__1,gastrin_producing neuroendocrin tum diagnos hist abdomin fistul gastrointestin perf intr abdomin abscess within twentyeight day tre gastrin_producing neuroendocrine tumor diagnosis history abdominal fistula gastrointestinal perforation intra abdominal abscess within twentyeight days treatment
5678,__label__1,stag ii lymphoblast lymphom diagnos sex act paty reproduc pot elig unless agree us effect contraceiv method dur study particip stage ii lymphoblastic lymphoma diagnosis sexually active patients reproductive potential eligible unless agree use effective contraceptive method duration study participation
5679,__label__0,stag ii grad two follicul lymphom diagnos paty must wil giv writ inform cons sign institut approv cons form perform study rel proc part norm med car understand cons may withdrawn subject tim without prejud fut med car stage iii grade two follicular lymphoma diagnosis patients must will give write inform consent sign institutionally approve consent form performance study relate procedure part normal medical care understand consent may withdraw subject time without prejudice future medical care
5680,__label__1,child nas typ extranod nk cel lymphom diagnos paty poor control hypertend multipl antihypertend childhood nasal type extranodal nk cell lymphoma diagnosis patient poorly control hypertension multiple antihypertensives
5681,__label__0,stag iv squam cel carcinom nasopharynx diagnos creatinin gre doc tim uln stage iv squamous cell carcinoma nasopharynx diagnosis creatinine greater doc time uln
5682,__label__1,recur malign neoplasm diagnos high effect contraceiv mal condom spermicid diaphragm spermicid intr uterin dev tot abstin must us sex study must continu six month end study tre not recurrent malignant neoplasm diagnosis highly effective contraception male condom spermicide diaphragm spermicide intra uterine device total abstinence must use sex study must continue six months end study treatment note
5683,__label__0,stag ii breast cant diagnos hypersensit letrozol zoledron acid excipy stage iiic breast cancer diagnosis hypersensitivity letrozole zoledronic acid excipients
5684,__label__0,pancr acin cel carcinom diagnos baselin assess must complet within twentyeight day pri reg pancreatic acinar cell carcinoma diagnosis baseline assessments must complete within twentyeight days prior registration
5685,__label__0,recur colon carcinom diagnos lif expect greater_than equal_than eightyfo day three month recurrent colon carcinoma diagnosis life expectancy greater_than equal_than eightyfour days three months
5686,__label__0,unt metast squam neck cant occult prim diagnos ecog perform stat zero on two untreated metastatic squamous neck cancer occult primary diagnosis ecog performance status zero one two
5687,__label__0,stag iiib non smal cel lung cant diagnos known brain metastas contrast enh ct scan gadolin enh mri brain stage iiib non small cell lung cancer diagnosis know brain metastases contrast enhance ct scan gadolinium enhance mri brain
5688,__label__0,breast neoplasm diagnos wil provid tissu new obtain cor excid biopsy tumo les breast neoplasms diagnosis will provide tissue newly obtain core excisional biopsy tumour lesion
5689,__label__0,ov cant diagnos ren ovarian cancer diagnosis renal
5690,__label__1,stag adult diffus mix cel lymphom diagnos us expery drug within twentyeight day baselin stage adult diffuse mix cell lymphoma diagnosis use experimental drug within twentyeight days baseline
5691,__label__1,refract multipl myelom diagnos paty hist allergy boron mannitol bortezomib refractory multiple myeloma diagnosis patient history allergy boron mannitol bortezomib
5692,__label__0,colorect cant diagnos bilirubin less doc mg dl doc mg dl paty gilbert syndrom colorectal cancer diagnosis bilirubin less doc mg dl doc mg dl patients gilbert syndrome
5693,__label__0,endomet adenosquam carcinom diagnos paty may receiv pri hormon therapy system chemotherapy therapy must complet least six month pri study entry paty clear evid diseas subsequ therapy paty must receiv neoadjuv chemotherapy pres recur diseas endometrial adenosquamous carcinoma diagnosis patients may receive prior hormone therapy systemic chemotherapy therapy must complete least six months prior study entry patient clear evidence disease subsequent therapy patients must receive neoadjuvant chemotherapy present recurrent disease
5694,__label__1,sign neurolog dysfunct includ seiz clin sign sign neurolog diseas act malign within past fiv year exceiv bas cel skin cant carcinom situ cervix contraind torem excipy excipy atamest pregn nurs significant neurological dysfunction include seizures clinical sign significant neurological diseases active malignancy within past five years except basal cell skin cancer carcinoma situ cervix contraindication toremifene excipients excipients atamestane pregnant nurse
5695,__label__1,recur breast cant diagnos paty sign cardiac diseas includ heart fail meet new york heart assocy nyh class ii iv definit hist myocard infarct within on year study entry uncontrol dysrhythmia poor control angin exclud recurrent breast cancer diagnosis patients significant cardiac disease include heart failure meet new york heart association nyha class iii iv definitions history myocardial infarction within one year study entry uncontrolled dysrhythmias poorly control angina exclude
5696,__label__1,periph cel lymphom diagnos hist cent nerv system cns involv diseas peripheral cell lymphoma diagnosis history central nervous system cns involvement disease
5697,__label__0,sarcom diagnos perform stat sarcoma diagnosis performance status
5698,__label__0,lymphom diagnos concur diseas would dang alt drug metabol obsc tox lymphoma diagnosis concurrent disease would dangerously alter drug metabolism obscure toxicity
5699,__label__1,diffus larg cel lymphom diagnos pres limit comprom paty abl comply tre diffuse large cell lymphoma diagnosis presence limitations compromise patient ability comply treatment
5700,__label__1,tum diagnos plan tre rituximab tumors diagnosis plan treatment rituximab
5701,__label__1,intraocul lymphom diagnos diagnos cml exceiv paty fail pri don leukocyt infus minim cel dos onexone0 eight cel kg intraocular lymphoma diagnosis diagnosis cml except patients fail prior donor leukocyte infusion minimum cell dose onexone0 eight cells kg
5702,__label__0,esoph cant diagnos zero on esophageal cancer diagnosis zero one
5703,__label__1,noncontigu stag ii smal lymphocys lymphom diagnos unrel don produc receiv deutsche_knochenmarkspenderdatei dkms_registry elig opt study noncontiguous stage ii small lymphocytic lymphoma diagnosis unrelated donor products receive deutsche_knochenmarkspenderdatei dkms_registry eligible optional study
5704,__label__0,stag iv thyroid gland papil carcinom diagnos tot bilirubin norm stage iv thyroid gland papillary carcinoma diagnosis total bilirubin normal
5705,__label__1,multipl myelom diagnos lab abnorm multiple myeloma diagnosis laboratory abnormalities
5706,__label__0,refract multipl myelom diagnos ser creatinin equal_than less_than doc refractory multiple myeloma diagnosis serum creatinine equal_than less_than doc
5707,__label__0,recur pancr cant diagnos uncontrol hypertend recurrent pancreatic cancer diagnosis uncontrolled hypertension
5708,__label__1,glioblastom diagnos whit blood cel count wbc decreas less_than doc xon hundr nin increas greater_than on doc xon hundr nin l glioblastoma diagnosis white blood cell count wbc decrease less_than doc xone hundred nine increase greater_than one doc xone hundred nine l
5709,__label__1,metast gastrointestin carcinoid tum diagnos paty chemotherapy radiotherapy within four week six week nitrosourea mitomycin pri ent study recov advers ev due ag admin four week ear metastatic gastrointestinal carcinoid tumor diagnosis patients chemotherapy radiotherapy within four weeks six weeks nitrosoureas mitomycin prior enter study recover adverse events due agents administer four weeks earlier
5710,__label__1,stag ivb sal gland cant diagnos although known advers effect black_raspberries upon fet paty becom pregn period lyophilized_black raspberries_lbr admin lbr discontinu paty remov study howev emphas giv food bas study risk lik extrem low ev though particip becom pregn recommend act contraceiv wom rath particip becom pregn not study doct lik remov study expect log risk men fath child contraceiv recommend men stage ivb salivary gland cancer diagnosis although know adverse effect black_raspberries upon fetus patients become pregnant period lyophilized_black raspberries_lbr administration lbr discontinue patient remove study however emphasize give food base study risk likely extremely low even though participant become pregnant recommend active contraception women rather participants become pregnant notify study doctor likely remove study expect logical risk men father child contraception recommend men
5711,__label__0,plasmablast lymphom diagnos although requir enco myc bcl two meas immunohistochem ihc clear docu plasmablastic lymphoma diagnosis although require encourage myc bcl two measure immunohistochemistry ihc clearly document
5712,__label__1,fallop tub cant diagnos paty sery non heal wound ulc bon fract includ hist abdomin fistul gastrointestin perf intr abdomin abscess within twentyeight day fallopian tube cancer diagnosis patients serious non heal wind ulcer bone fracture include history abdominal fistula gastrointestinal perforation intra abdominal abscess within twentyeight days
5713,__label__1,lymphom diagnos pri chemotherapy lymphoma diagnosis prior chemotherapy
5714,__label__1,follicul lymphom diagnos paty pregn childbear pot lact follicular lymphoma diagnosis patients pregnant childbearing potential lactate
5715,__label__1,metast colorect cant diagnos prevy assign tre study metastatic colorectal cancer diagnosis previous assignment treatment study
5716,__label__0,neoplasm recur loc diagnos les assocy sign surg risk neoplasm recurrence local diagnosis lesions associate significant surgical risk
5717,__label__1,adenocarcinom rect diagnos defin mucin tumo adenocarcinoma rectum diagnosis define mucinous tumour
5718,__label__1,metast colorect cant diagnos diverticulit metastatic colorectal cancer diagnosis diverticulitis
5719,__label__0,child germ cel tum diagnos creatinin gre doc tim uln childhood germ cell tumor diagnosis creatinine greater doc time uln
5720,__label__1,ov neoplasm diagnos exceiv rul follow malign may includ adequ tre ovarian neoplasms diagnosis exception rule follow malignancies may include adequately treat
5721,__label__0,recur adult diffus smal cleav cel lymphom diagnos mat cel malign recurrent adult diffuse small cleave cell lymphoma diagnosis mature cell malignancies
5722,__label__0,breast neoplasm diagnos paty must ren criter breast neoplasm diagnosis patients must renal criteria
5723,__label__1,pancr cant diagnos ibuprof naprox pancreatic cancer diagnosis ibuprofen naproxen
5724,__label__0,stag adult immunoblast larg cel lymphom diagnos paty bon marrow involv allow investig discret regardless cytopenia stage adult immunoblastic large cell lymphoma diagnosis patients bone marrow involvement allow investigator discretion regardless cytopenias
5725,__label__1,noncontigu stag ii grad on follicul lymphom diagnos paty evid hum immunodeficy vir hiv seroposit posit polymeras chain react pcr assay hum lymphotrop vir htlv on htlvtwo_seropositivity saf allog hsct yet wel est pop noncontiguous stage ii grade one follicular lymphoma diagnosis patients evidence human immunodeficiency virus hiv seropositivity positive polymerase chain reaction pcr assay human lymphotropic virus htlv one htlvtwo_seropositivity safety allogeneic hsct yet well establish population
5726,__label__0,refract smal lymphocys lymphom diagnos don refractory small lymphocytic lymphoma diagnosis donor
5727,__label__1,head neck cant diagnos uncontrol diabet head neck cancer diagnosis uncontrolled diabetes
5728,__label__0,lymphom diagnos pri pentostatin lymphoma diagnosis prior pentostatin
5729,__label__1,multipl myelom diagnos polyneuropathy_organomega endocrinopathy monoclon protein skin chang poem syndrom multiple myeloma diagnosis polyneuropathy_organomegaly endocrinopathy monoclonal protein skin change poems syndrome
5730,__label__0,adult brain stem gliom diagnos least three month sint pri suramin adult brain stem glioma diagnosis least three months since prior suramin
5731,__label__0,recur breast cant diagnos absolv granulocyt count least on fiv hundr mm three recurrent breast cancer diagnosis absolute granulocyte count least one five hundred mm three
5732,__label__0,fallop tub ser adenocarcinom diagnos paty must provid study spec inform cons pri study entry fallopian tube serous adenocarcinoma diagnosis patient must provide study specific inform consent prior study entry
5733,__label__0,paty on three tum less_than fiv cm patients one three tumors less_than five cm
5734,__label__0,paty must meas diseas accord respons evalu criter solid tum rec criter patients must measurable disease accord response evaluation criteria solid tumors recist criteria
5735,__label__0,gestational_trophoblastic tum diagnos spec perform stat gestational_trophoblastic tumor diagnosis specify performance status
5736,__label__1,stag ii grad three non contigu follicul lymphom diagnos absolv cdfour count less_than fifty cel mm three stage ii grade three non contiguous follicular lymphoma diagnosis absolute cdfour count less_than fifty cells mm three
5737,__label__1,stag ia esoph cant diagnos known hypersensit compon bevacizumab stage ia esophageal cancer diagnosis know hypersensitivity component bevacizumab
5738,__label__1,endomet undifferenty carcinom diagnos condit assocy increas risk metformin assocy lactic_acidosis congest heart fail defin new york heart assocy nyh class ii iv funct stat hist acidos typ habit intak three alcoholic_beverages per day endometrial undifferentiated carcinoma diagnosis condition associate increase risk metformin associate lactic_acidosis congestive heart failure define new york heart association nyha class iii iv functional status history acidosis type habitual intake three alcoholic_beverages per day
5739,__label__0,multipl myelom plasm cel neoplasm diagnos fertil paty must us two method effect contraceiv four week complet study tre multiple myeloma plasma cell neoplasm diagnosis fertile patients must use two methods effective contraception four weeks completion study treatment
5740,__label__0,adenosquam cel lung cant diagnos ple effus ascit lab paramet acceiv evid diseas adenosquamous cell lung cancer diagnosis pleural effusions ascites laboratory parameters acceptable evidence disease
5741,__label__1,myeloprol neoplasm diagnos acut myeloid leukem rar transloc apl acut promyelocys leukem myeloproliferative neoplasms diagnosis acute myeloid leukemia rara translocations apl acute promyelocytic leukemia
5742,__label__1,adv cant vary nos diagnos subject involunt incarc advance cancer various nos diagnosis subject involuntary incarcerate
5743,__label__0,recur breast cant diagnos psychy il soc situ would preclud study recurrent breast cancer diagnosis psychiatric illness social situation would preclude study
5744,__label__0,prost cant diagnos spec prostate cancer diagnosis specify
5745,__label__0,extranod margin zon cel lymphom mucos assocy lymphoid tissu diagnos paty bon marrow don htlv ii hiv antibody posit inelig study extranodal marginal zone cell lymphoma mucosa associate lymphoid tissue diagnosis patients bone marrow donors htlv iii hiv antibody positive ineligible study
5746,__label__0,multipl myelom plasm cel neoplasm diagnos concur anticoag multiple myeloma plasma cell neoplasm diagnosis concurrent anticoagulants
5747,__label__1,breast cant diagnos inadequ control hypertend defin systol blood press greater_than on hundr fifty mmhg diastol blood pressuregreater_than on hundr mmhg antihypertend med new york heart assocy nyh grad two gre congest heart fail breast cancer diagnosis inadequately control hypertension define systolic blood pressure greater_than one hundred fifty mmhg diastolic blood pressuregreater_than one hundred mmhg antihypertensive medications new york heart association nyha grade two greater congestive heart failure
5748,__label__0,bilirubin gre three mg dl unless elev second tum bilirubin greater three mg dl unless elevate secondary tumor
5749,__label__0,recur child cent nerv system neoplasm diagnos hist congenit prolong correct qt interv qtc syndrom new york heart assocy nyh class ii iv congest heart fail chf recurrent childhood central nervous system neoplasm diagnosis history congenital prolong correct qt interval qtc syndrome new york heart association nyha class iii iv congestive heart failure chf
5750,__label__1,paty symptom cns metastas patient symptomatic cns metastases
5751,__label__0,malign melanom diagnos nsclc paty must minim thirty pack year smok hist malignant melanoma diagnosis nsclc patients must minimum thirty pack year smoke history
5752,__label__0,stag adult diffus larg cel lymphom diagnos lact dehydrogenas ldh greater_than up limit norm on point stage adult diffuse large cell lymphoma diagnosis lactate dehydrogenase ldh greater_than upper limit normal one point
5753,__label__0,child solid neoplasm diagnos doc mg dl mal fem childhood solid neoplasm diagnosis doc mg dl males females
5754,__label__1,cant diagnos pri radiotherapy unless tre limit target les on meas les tre cancer diagnosis prior radiotherapy unless treatment limit target lesion one measurable lesion treat
5755,__label__0,recur hypopharyng squam cel carcinom diagnos concur investig ag recurrent hypopharyngeal squamous cell carcinoma diagnosis concurrent investigational agents
5756,__label__1,neoplasm diagnos unt brain men metastas neoplasms diagnosis untreated brain meningeal metastases
5757,__label__0,adv adult prim liv cant diagnos on per common terminolog criter advers ev ctcae periph mot neuropathy greater_than gr advance adult primary liver cancer diagnosis one per common terminology criteria adverse events ctcae peripheral motor neuropathy greater_than gr
5758,__label__0,multipl myelom plasm cel neoplasm diagnos acut lymphoblast leukem meet on follow criter multiple myeloma plasma cell neoplasm diagnosis acute lymphoblastic leukemia meet one follow criteria
5759,__label__1,recur adult prim liv cant diagnos hepatit vir hcv recur tim random recurrent adult primary liver cancer diagnosis hepatitis virus hcv recurrence time randomization
5760,__label__0,stag iv oropharyng squam cel carcinom diagnos tot bilirubin equal_than less_than up limit norm uln stage iva oropharyngeal squamous cell carcinoma diagnosis total bilirubin equal_than less_than upper limit normal uln
5761,__label__1,testicul lymphom diagnos posit ant don lymphocytotoxic_crossmatch testicular lymphoma diagnosis positive anti donor lymphocytotoxic_crossmatch
5762,__label__1,anaplast oligoastrocytom diagnos us biolog respons mod csf within three week study entry anaplastic oligoastrocytoma diagnosis use biologic response modifiers csf within three week study entry
5763,__label__0,recur solid neoplasm diagnos absolv neutrophil count greater_than equal_than on zero ul mcl recurrent solid neoplasm diagnosis absolute neutrophil count greater_than equal_than one zero ul mcl
5764,__label__0,recur grad on follicul lymphom diagnos must anticip paty complet least two cyc chemotherapy recurrent grade one follicular lymphoma diagnosis must anticipate patient complete least two cycle chemotherapy
5765,__label__0,recur margin zon lymphom diagnos hist uncontrol orthostatic_hypotension recurrent marginal zone lymphoma diagnosis history uncontrolled orthostatic_hypotension
5766,__label__1,blad carcinom diagnos hist immun attenu liv vaccin within on week pri reg protocol therapy study period bladder carcinoma diagnosis history immunization attenuate live vaccines within one week prior registration protocol therapy study period
5767,__label__0,anaplast oligodendrogliom diagnos elig level hemoglobin may reach transfus anaplastic oligodendroglioma diagnosis eligibility level hemoglobin may reach transfusion
5768,__label__1,blad cant diagnos paty receiv immun attenu liv vaccin within on week study entry study period bladder cancer diagnosis patients receive immunization attenuate live vaccines within one week study entry study period
5769,__label__0,adult non hodgkin lymphom diagnos follow histolog typ real class intern work form iwf appl not adult non hodgkin lymphoma diagnosis follow histologic type real classification international work formulation iwf applicable note
5770,__label__0,esoph neoplasm diagnos breast fee esophageal neoplasms diagnosis breast feed
5771,__label__0,contigu stag ii mantl cel lymphom diagnos rel don hla genotyp id least on haplotyp may phenotyp genotyp id allel level hla b drbone dqbone contiguous stage ii mantle cell lymphoma diagnosis relate donor hla genotypically identical least one haplotype may phenotypically genotypically identical allele level hla b drbone dqbone
5772,__label__0,fallop tub cant diagnos ast sgot alt sgpt less_than doc up limit norm rang uln fallopian tube cancer diagnosis ast sgot alt sgpt less_than doc upper limit normal range uln
5773,__label__0,progesteron receiv neg breast cant diagnos periph neuropathy equal_than less_than grad on progesterone receptor negative breast cancer diagnosis peripheral neuropathy equal_than less_than grade one
5774,__label__0,recur pancr cant diagnos perform stat recurrent pancreatic cancer diagnosis performance status
5775,__label__1,tripl neg breast cant diagnos season influenz vaccin inject generally_inactivated flu vaccin allow howev intranas influenz vaccin flu_mist liv attenu vaccin allow triple negative breast cancer diagnosis seasonal influenza vaccines injection generally_inactivated flu vaccines allow however intranasal influenza vaccines flu_mist live attenuate vaccines allow
5776,__label__0,cant head neck diagnos adequ bon marrow org funct defin cancer head neck diagnosis adequate bone marrow organ function define
5777,__label__0,recur verruc carcinom or cav diagnos inr ptt ratio less_than doc recurrent verrucous carcinoma oral cavity diagnosis inr ptt ratio less_than doc
5778,__label__1,thyroid cant anaplast diagnos cur tot abstin prefer usual_lifestyle agr tot abstin study period thirty day study drug discontinu thyroid cancer anaplastic diagnosis currently totally abstinent prefer usual_lifestyle agree totally abstinent study period thirty days study drug discontinuation
5779,__label__1,malign within past fiv year exceiv adequ tre carcinom cervix bas squam cel carcinom skin malignancies within past five years except adequately treat carcinoma cervix basal squamous cell carcinoma skin
5780,__label__1,stag ii mantl cel lymphom diagnos paty rapid progress intermedy high grad nhl stage iii mantle cell lymphoma diagnosis patients rapidly progressive intermediate high grade nhl
5781,__label__1,rect cant diagnos paty must receiv pri chemotherapy rady greater_than equal_than two week study enrol rectal cancer diagnosis patients must receive prior chemotherapy radiation greater_than equal_than two weeks study enrollment
5782,__label__1,stag ib vulv cant diagnos paty hist congest heart fail chronic ren diseas chronic liv diseas stage ib vulvar cancer diagnosis patients history congestive heart failure chronic renal disease chronic liver disease
5783,__label__1,resect pancr adenocarcinom diagnos paty known contraind analges endoscop resectable pancreatic adenocarcinoma diagnosis patients know contraindications analgesia endoscopy
5784,__label__0,recur grad three follicul lymphom diagnos myelofibros without splenectomy intermedy high risk feat recurrent grade three follicular lymphoma diagnosis myelofibrosis without splenectomy intermediate high risk feature
5785,__label__0,soft tissu sarcom diagnos ethinylestradiol gestod itraconazol ketoconazol cimetidin erythromycin carbamazepin high dos chronic steroid phenobarbit phenytoin rifampin rifampcin sulfinpyrazon soft tissue sarcoma diagnosis ethinylestradiol gestodene itraconazole ketoconazole cimetidine erythromycin carbamazepine high dose chronic steroids phenobarbital phenytoin rifampin rifampcin sulfinpyrazone
5786,__label__0,recur rect cant diagnos pri cetuximab recurrent rectal cancer diagnosis prior cetuximab
5787,__label__0,multipl myelom plasm cel neoplasm diagnos diseas charact multiple myeloma plasma cell neoplasm diagnosis disease characteristics
5788,__label__1,recur margin zon lymphom diagnos don recurrent marginal zone lymphoma diagnosis donors
5789,__label__0,stag iv uterin corp cant diagnos upc ratio on rough equ twentyfo hour urin protein on gm stage iva uterine corpus cancer diagnosis upc ratio one roughly equivalent twentyfour hour urine protein one gm
5790,__label__0,stag ii skin melanom diagnos fertil paty must us effect contraceiv greater_than six month complet study tre stage iiic skin melanoma diagnosis fertile patients must use effective contraception greater_than six months completion study treatment
5791,__label__0,recur tum vis aa pet mri ton gd diamet meas on cm six cm eith techn recurrent tumor visible aa pet mri tone gd diameter measure one cm six cm either technique
5792,__label__1,concomit ant cant therapy permit concomitant anti cancer therapies permit
5793,__label__1,colorect cant diagnos hist evid inherit blee diathes coagulopathy risk blee colorectal cancer diagnosis history evidence inherit bleed diathesis coagulopathy risk bleed
5794,__label__1,pancr cant diagnos lif expect less_than three month pancreatic cancer diagnosis life expectancy less_than three months
5795,__label__1,stag iiib breast cant diagnos manifest cardiac comply init transpl period includ arrhythmia requir therapy congest heart fail angin myocard infarct decreas lvef less_than fortyf stage iiib breast cancer diagnosis manifest cardiac complications initial transplant period include arrhythmias require therapy congestive heart failure angina myocardial infarct decrease lvef less_than fortyfive
5796,__label__0,inflam breast carcinom diagnos neg urin ser pregn test within twentyon day study tre inflammatory breast carcinoma diagnosis negative urine serum pregnancy test within twentyone days study treatment
5797,__label__1,symptom brain metastas stabl requir steroid pot lif threatening requir rady within last fourteen day symptomatic brain metastases stable require steroids potentially life threaten require radiation within last fourteen days
